discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
45,28.99,Leopard Ombre Print Kangaroo Pocket Hoodie,42.035,8347772,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:NoStretch;Thickness:Regular;Patterns:Leopard;Season:Fall,Spring,Winter;Weight:0.6000kg;PackageContents:1xHoodie",https://www.dresslily.com/leopard-ombre-print-kangaroo-pocket-product8347772.html,
43,18.99,Flocking Lining Knit Sweatshirt O Ring A Quarter Zip Stand Collar Heathered Sweatshirt,27.156,8459850,";Gender:ForMen;ClothesType:Sweatshirts;Style:Casual,Fashion;Occasions:Daily;FitType:RegularFit;Collar:StandCollar;Length:Regular;SleeveLength:LongSleeves;PatternType:Others;Embellishment:ZipFront;Material:Polyester;FabricStretch:SlightStretch;Season:Fall,Winter;Thickness:Standard;Weight:0.3550kg;PackageContents:1xSweatshirt",https://www.dresslily.com/flocking-lining-knit-sweatshirt-o-product8459850.html,
54,26.99,Galaxy Black Hole Print Hoodie Kangaroo Pocket Drawstring Casual Hoodie,41.565,8455774,";Gender:ForMen;ClothesType:Hoodies;Style:Casual,Fashion;Occasions:Daily;FitType:RegularFit;Collar:Hooded;Length:Regular;SleeveLength:LongSleeves;PatternType:Galaxy;Embellishment:FrontPocket;Material:Polyester,Spandex;FabricStretch:SlightStretch;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/galaxy-black-hole-print-hoodie-product8455774.html,1
46,29.99,Gothic Hooded Cape and Mask Top Two Piece Sets,43.785,8345299,";Occasion:Daily,Party;Style:Gothic;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Cotton,Spandex;Thickness:Regular;Patterns:Solid;Season:Fall,Spring;Weight:0.5500kg;PackageContents:1xTop1xCape",https://www.dresslily.com/gothic-hooded-cape-and-mask-product8345299.html,2
46,32.99,Pintuck Detail Kangaroo Pocket Fleece Hoodie,48.165,8373135,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;SleeveLength:Full;Material:Cotton,Polyester;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Others;Season:Fall,Winter;Weight:0.7600kg;PackageContents:1xHoodie",https://www.dresslily.com/pintuck-detail-kangaroo-pocket-fleece-product8373135.html,
33,29.99,Textured Plain Color Hoodie Kangaroo Pocket Drawstring Applique Casual Hoodie,39.887,8453010,";Gender:ForMen;ClothesType:Hoodies;Style:Casual;Occasions:Daily;FitType:RegularFit;Collar:Hooded;ShirtLength:Regular;SleeveLength:Full;PatternType:SolidColor;Embellishment:Applique;Material:Polyester;FabricStretch:SlightStretch;Season:Fall,Spring;Weight:0.5050kg;PackageContents:1xHoodie",https://www.dresslily.com/textured-plain-color-hoodie-kangaroo-product8453010.html,2
43,26.99,Cute Fleece Lining Hoodie With Cat Ear Pure Color Kangaroo Pocket Drawstring Hoodie,38.596,8453801,";Gender:ForMen;ClothesType:Hoodies;Style:Casual;Occasions:Daily;FitType:RegularFit;Collar:Hooded;SleeveLength:LongSleeves;PatternType:SolidColor;Material:Cotton,Polyester;FabricStretch:SlightStretch;Season:Fall,Winter;Weight:0.5600kg;PackageContents:1xHoodie",https://www.dresslily.com/cute-fleece-lining-hoodie-with-product8453801.html,5
44,28.99,Fire Ice Print Hoodie Pocket Drawstring Long Sleeve Sweatshirt With Hood,41.746,8458643,";Gender:ForMen;ClothesType:Hoodies;Style:Casual,Fashion;Occasions:Daily;Collar:Hooded;SleeveLength:LongSleeves;PatternType:Print;Embellishment:Pocket;Material:Polyester,Spandex;FabricStretch:SlightStretch;Season:Fall;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/fire-ice-print-hoodie-pocket-product8458643.html,5
40,28.99,Christmas Pattern Front Pocket Hoodie,40.586,8370361,";ClothesType:Hoodie;Occasion:ChristmasDay;Style:Fashion;FitType:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Bell,ChristmasStocking,ChristmasTree,Snowflake;Season:Fall,Winter;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/christmas-pattern-front-pocket-hoodie-product8370361.html,
45,29.99,PU Leather Panel Drawstring Hoodie,43.486,7886633,";Occasion:DailyUse;Style:Casual;FitType:Regular;SleeveLength:Full;Material:Cotton,Polyester,Polyurethane;Thickness:Regular;Patterns:Solid;Season:Fall;Weight:0.6790kg;PackageContents:1xHoodie",https://www.dresslily.com/pu-leather-panel-drawstring-hoodie-product7886633.html,2
